"Term ID","Term Name","Term Slug",Description,"Parent ID","Parent Name","Parent Slug",Count
5192,LEMONADE,lemonade,,,,,
5242,BLUEBERRY,blueberry,,,,,5
5255,"BLUEBERRY MOSCATO",blueberry-moscato,,,,,2
5270,"PINEAPPLE MOSCATO",pineapple-moscato,,,,,1
5328,LIME,lime,,,,,22
5342,"CLASSIC LIME",classic-lime,,,,,14
5348,PEACH,peach,,,,,15
5354,WATERMELON,watermelon,,,,,10
5374,PALOMA,paloma,,,,,7
5390,"PINEAPPLE JALAPENO",pineapple-jalapeno,,,,,3
5394,"SPICED CRANBERRY",spiced-cranberry,,,,,2
5506,"PINA COLADA",pina-colada,,,,,2
5512,"BLOOD ORANGE HIBISCUS",blood-orange-hibiscus,,,,,2
5518,"PINK LEMONADE",pink-lemonade,,,,,1
5560,"CHOCOLATE MARTINI",chocolate-martini,,,,,2
5564,"CUCUMBER LIME",cucumber-lime,,,,,1
5592,HORCHATA,horchata,,,,,1
5608,"PRICKLY PEAR HIBISCUS",prickly-pear-hibiscus,,,,,1
5628,"GRENACHE ROSE",grenache-rose,,,,,1
5646,VARIOUS,various,,,,,2
5756,"PEACH LEMONADE MOSCATO",peach-lemonade-moscato,,,,,2
6126,"BRUT ROSE",brut-rose,,,,,1
